City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,abha,18.2164,42.5053,13.9,82,0,0.0,SA,1675881024
1,orodara,10.9492,-4.9342,30.01,23,62,1.62,BF,1675881025
2,vardo,70.3705,31.1107,1.99,75,0,7.2,NO,1675880674
3,clyde river,70.4692,-68.5914,-36.87,67,20,3.09,CA,1675880682
4,kapaa,22.0752,-159.319,24.18,79,20,9.26,US,1675880514
5,vaini,-21.2,-175.2,25.09,94,75,2.57,TO,1675880542
6,pevek,69.7008,170.3133,-32.02,100,100,3.08,RU,1675880560
7,kalabo,-14.97,22.6814,20.33,89,100,2.31,ZM,1675881037
8,port alfred,-33.5906,26.891,21.21,85,100,3.26,ZA,1675880564
9,puerto ayora,-0.7393,-90.3518,29.98,89,85,4.47,EC,1675880517
10,lasa,46.6166,10.7002,-1.51,92,47,0.19,IT,1675880613
11,kavaratti,10.5669,72.642,26.53,75,63,4.46,IN,1675880631
12,dikson,73.5069,80.5464,-15.58,79,100,6.64,RU,1675880319
13,arcachon,44.5875,-1.0519,7.18,65,0,2.57,FR,1675881039
14,hasaki,35.7333,140.8333,3.22,57,85,7.65,JP,1675880695
15,black river,18.0264,-77.8487,29.28,56,21,6.95,JM,1675881044
16,bambanglipuro,-7.95,110.2833,24.6,92,100,4.73,ID,1675880765
17,akkermanovka,51.2467,58.2391,-18.12,100,65,2.4,RU,1675881045
18,norman wells,65.282,-126.8329,-27.98,69,75,1.03,CA,1675880654
19,nizhneangarsk,55.7833,109.55,-17.46,93,100,2.08,RU,1675881046
20,lebu,-37.6167,-73.65,19.03,72,1,5.56,CL,1675880634
21,walvis bay,-22.9575,14.5053,20.53,77,36,4.12,NA,1675880468
22,saldanha,-33.0117,17.9442,19.16,84,29,6.36,ZA,1675880566
23,tirano,46.2154,10.1679,1.13,92,100,0.67,IT,1675881047
24,ushuaia,-54.8,-68.3,21.81,40,75,4.63,AR,1675880510
25,qaanaaq,77.484,-69.3632,-32.45,68,16,2.79,GL,1675880340
26,saint george,37.1041,-113.5841,9.41,45,0,0.89,US,1675880581
27,mataura,-46.1927,168.8643,9.15,94,89,3.38,NZ,1675880549
28,ostrovnoy,68.0531,39.5131,-1.59,74,65,15.45,RU,1675880566
29,port lincoln,-34.7333,135.8667,18.58,80,55,4.94,AU,1675880748
30,dosso,13.049,3.1937,28.83,11,100,4.31,NE,1675881049
31,owando,-0.4819,15.8999,28.45,38,39,0.22,CG,1675880745
32,luanda,-8.8368,13.2343,28.0,69,0,5.14,AO,1675881049
33,busselton,-33.65,115.3333,15.4,88,0,5.07,AU,1675880507
34,albany,42.6001,-73.9662,7.58,55,61,1.79,US,1675880505
35,nikolskoye,59.7035,30.7861,1.94,94,100,2.98,RU,1675880262
36,bredasdorp,-34.5322,20.0403,20.41,72,1,7.55,ZA,1675880452
37,jamestown,42.097,-79.2353,4.77,60,0,0.0,US,1675880307
38,kenora,49.8167,-94.4337,0.54,64,75,3.6,CA,1675880853
39,hilo,19.7297,-155.09,21.08,91,100,2.57,US,1675880545
40,bluff,-46.6,168.3333,9.33,69,72,10.17,NZ,1675880572
41,portland,45.5234,-122.6762,9.24,89,75,4.12,US,1675880437
42,rikitea,-23.1203,-134.9692,26.25,75,5,6.29,PF,1675880502
43,sarangani,5.4033,125.4636,26.32,75,100,3.87,PH,1675881050
44,ferrol,43.4832,-8.2369,12.29,64,0,6.06,ES,1675881051
45,butaritari,3.0707,172.7902,26.81,83,84,9.5,KI,1675880524
46,mount isa,-20.7333,139.5,24.87,100,100,3.09,AU,1675880645
47,guiyang,26.5833,106.7167,5.27,100,100,3.0,CN,1675881049
48,hobart,-42.8794,147.3294,13.92,84,100,2.57,AU,1675880218
49,alofi,-19.0595,-169.9187,24.94,100,100,2.06,NU,1675881052
50,egvekinot,66.3167,-179.1667,-27.06,93,100,2.72,RU,1675881052
51,thompson,55.7435,-97.8558,-8.91,86,40,1.54,CA,1675880506
52,rocha,-34.4833,-54.3333,28.09,55,85,1.26,UY,1675881053
53,barrow,71.2906,-156.7887,-26.99,76,100,1.54,US,1675880571
54,ondangwa,-17.9167,15.95,23.86,42,94,4.53,NA,1675881053
55,kostomuksha,64.571,30.5767,0.03,91,100,7.63,RU,1675881054
56,pisco,-13.7,-76.2167,26.12,78,0,4.12,PE,1675880554
57,sergeyevka,53.88,67.4158,-26.63,100,100,2.96,KZ,1675881054
58,upernavik,72.7868,-56.1549,-31.55,88,22,1.76,GL,1675880540
59,emba,48.8264,58.1442,-19.74,93,5,3.31,KZ,1675881055
60,puerto del rosario,28.5004,-13.8627,18.86,48,40,3.09,ES,1675881055
61,dickinson,29.4608,-95.0513,27.03,82,40,7.72,US,1675881056
62,khatanga,71.9667,102.5,-43.09,100,77,1.88,RU,1675880332
63,hermanus,-34.4187,19.2345,21.56,65,0,8.95,ZA,1675880375
64,cape town,-33.9258,18.4232,23.84,62,0,5.36,ZA,1675880258
65,suntar,62.1444,117.6319,-45.61,100,63,0.15,RU,1675880864
66,jinxiang,27.4327,120.6062,9.76,93,100,3.45,CN,1675881057
67,hay river,60.8156,-115.7999,-20.01,77,0,3.09,CA,1675880556
68,carnarvon,-24.8667,113.6333,25.5,76,10,9.53,AU,1675880333
69,chumikan,54.7183,135.315,-30.28,89,87,6.38,RU,1675880752
70,bintulu,3.1667,113.0333,24.23,94,20,1.54,MY,1675881058
71,ponta do sol,32.6667,-17.1,16.51,68,62,2.8,PT,1675880577
72,tasiilaq,65.6145,-37.6368,-15.91,54,0,4.65,GL,1675880630
73,luderitz,-26.6481,15.1594,19.04,83,0,8.92,NA,1675880641
